Year,Sales,Expenses,OperatingProfit,OtherIncome,Depreciation,Interest,Profitbeforetax,Tax,Netprofit,EPS,Pricetoearning,Price
31-Mar-16,1479.9,1288.89,191.01,34.97,74.98,111.61,39.39,26.64,12.58,0.349638688,26.82769475,9.38
31-Mar-17,1434.22,1217.18,217.04,95.55,68.65,93.77,150.17,23.2,131.88,3.660283097,6.638830755,24.3
31-Mar-18,2173.7,1772.08,401.62,62.53,73.18,96.68,294.29,89.52,202.49,5.616920943,7.525475332,42.27
31-Mar-19,2323.89,1841.62,482.27,16.85,76.47,98.96,323.69,116.5,203.18,5.636061026,5.548201102,31.27
31-Mar-20,2000.15,1643.93,356.22,-16.93,77.92,82.48,178.89,43.35,126.34,3.504576976,3.35275843,11.75
31-Mar-21,2198.81,1679.25,519.56,129.94,75.05,79.1,495.35,114.97,374.89,10.39916782,4.025322094,41.86
31-Mar-22,3914.02,2558.68,1355.34,42.96,143.16,147.12,1108.02,299.79,804.16,22.30679612,5.077824687,113.27
31-Mar-23,4211.9,3151.69,1060.21,49.39,178.35,124.41,806.84,201.8,602.11,17.08598184,6.248397137,106.76
31-Mar-24,3868.13,3070.31,797.82,181.26,183.3,128.41,667.37,158.74,523,14.84108967,13.66813384,202.85
31-Mar-25,4642.85,3405.51,1237.34,172.05,271.43,220.2,917.76,236.57,699.82,19.85868331,25.87784859,513.9
